Date,Open,High,Low,Close,Adj Close,Volume (in Exp),day ,month,year,Volume
10-03-2005,4.529779911,4.534534931,4.43943882,4.504004002,4.487735271,437981580,10,3,2005,437981580
11-03-2005,4.515515804,4.528277874,4.433183193,4.449449062,4.433377743,320810868,11,3,2005,320810868
14-03-2005,4.462712765,4.464464188,4.318569183,4.379128933,4.363311768,445418136,14,3,2005,445418136
15-03-2005,4.386887074,4.504505157,4.359610081,4.469719887,4.453575611,416467116,15,3,2005,416467116
16-03-2005,4.421922207,4.469719887,4.379630089,4.394393921,4.378520966,283967748,16,3,2005,283967748
17-03-2005,4.432682991,4.495494843,4.399398804,4.486736774,4.47053051,330093576,17,3,2005,330093576
18-03-2005,4.47472477,4.514514923,4.462212086,4.505506039,4.489232063,283316400,18,3,2005,283316400
21-03-2005,4.486236095,4.558808804,4.435686111,4.526526928,4.510177135,299048652,21,3,2005,299048652
22-03-2005,4.534033775,4.553052902,4.450701237,4.46946907,4.453325272,225042732,22,3,2005,225042732
23-03-2005,4.45370388,4.510510921,4.45370388,4.478979111,4.46280098,193606200,23,3,2005,193606200
24-03-2005,4.52202177,4.526025772,4.484484196,4.485735893,4.469533443,148059792,24,3,2005,148059792
28-03-2005,4.546546936,4.624625206,4.528277874,4.540040016,4.523641586,349170480,28,3,2005,349170480
29-03-2005,4.530780792,4.586586952,4.456205845,4.493743896,4.477512836,258661080,29,3,2005,258661080
30-03-2005,4.520521164,4.540791035,4.494493961,4.515766144,4.499455452,249194556,30,3,2005,249194556
31-03-2005,4.453203201,4.539288998,4.445445061,4.517267227,4.500950813,270473256,31,3,2005,270473256
01-04-2005,4.548549175,4.578328133,4.504253864,4.505506039,4.489232063,247032720,1,4,2005,247032720
04-04-2005,4.503252983,4.637638092,4.500501156,4.636887074,4.620138645,322732944,4,4,2005,322732944
05-04-2005,4.697947979,4.761260986,4.693943977,4.718968868,4.701923847,349118532,5,4,2005,349118532
06-04-2005,4.735735893,4.745995998,4.69419384,4.735235214,4.718131542,209893896,6,4,2005,209893896
07-04-2005,4.724224091,4.870369911,4.720720768,4.84884882,4.831334591,387300312,7,4,2005,387300312
08-04-2005,4.84709692,4.882381916,4.791040897,4.806056023,4.788696766,204459336,8,4,2005,204459336
11-04-2005,4.832081795,4.874875069,4.812812805,4.835586071,4.818120003,216203580,11,4,2005,216203580
12-04-2005,4.82983017,4.865365028,4.739990234,4.853854179,4.836321831,292491216,12,4,2005,292491216
13-04-2005,4.841591835,4.862863064,4.747998238,4.828077793,4.810638905,261969768,13,4,2005,261969768
14-04-2005,4.836586952,4.863863945,4.757256985,4.791040897,4.773736,245861892,14,4,2005,245861892
